category,title,price,link
Холодильники,Холодильник Hisense RQ760N4IFE (6990162),117 999,https://bt.rozetka.com.ua/ua/451526399/p451526399/
Холодильники,Холодильник Beko RCSA 406K 30W,16 443,https://bt.rozetka.com.ua/ua/206479423/p206479423/
Холодильники,Холодильник Gorenje NRKI519E41,"29 399
27 975",https://bt.rozetka.com.ua/ua/gorenje-3838782838385/p573299497/
Холодильники,Холодильник Vestfrost CX 263 WB,10 800,https://bt.rozetka.com.ua/ua/refrigerators-vestfrost-151276457/p547384485/
Холодильники,Холодильник Hisense RB343D4CWE (6984822),13 999,https://bt.rozetka.com.ua/ua/441864944/p441864944/
Холодильники,Холодильник Heinner HC-HM262XE++,"14 499
12 999",https://bt.rozetka.com.ua/ua/heinner-hc-hm262xeplusplus/p434834645/
Холодильники,Холодильник Electrolux RRC5ME38X2,"39 999
35 175",https://bt.rozetka.com.ua/ua/electrolux-rrc5me38x2/p436912802/
Холодильники,Холодильник Grifon NFN-180X,14 420,https://bt.rozetka.com.ua/ua/513282374/p513282374/
Холодильники,Холодильник Gorenje NRKI519E82WF,"34 499
31 499",https://bt.rozetka.com.ua/ua/gorenje-3838782838392/p573299491/
Холодильники,Холодильник Gorenje NRKI517E61WF,27 999,https://bt.rozetka.com.ua/ua/gorenje-3838782838422/p573299503/
Холодильники,Холодильник Prime Technics RS 804 ET,"7 999
7 918",https://bt.rozetka.com.ua/ua/415251183/p415251183/
Холодильники,Холодильник із морозильною камерою Hansa BK316.3AA,22 842,https://bt.rozetka.com.ua/ua/403715622/p403715622/
Холодильники,Холодильник Hisense RB435N4BCE,"26 999
22 999",https://bt.rozetka.com.ua/ua/hisense-20010006/p442963853/
Холодильники,Холодильник Beko RDSA280K40WN,"13 899
12 635",https://bt.rozetka.com.ua/ua/575857342/p575857342/
Холодильники,Холодильник Liberty HRF-120 W,"6 899
6 834",https://bt.rozetka.com.ua/ua/529700379/p529700379/
Холодильники,Холодильник Beko B1752HCA+,"23 698
17 774",https://bt.rozetka.com.ua/ua/refrigerators-beko-151346315/p547448316/
Холодильники,Холодильник із морозильною камерою Grifon NFN-185BG,17 560,https://bt.rozetka.com.ua/ua/462856139/p462856139/
Холодильники,Холодильник Blaufisch BRD-181NFS,"17 438
16 238",https://bt.rozetka.com.ua/ua/523236664/p523236664/
Холодильники,Холодильник Haier HTW7720DNGB,50 830,https://bt.rozetka.com.ua/ua/422979573/p422979573/
Холодильники,Холодильник Whirlpool WHC20 T593 P,"49 699
46 999",https://bt.rozetka.com.ua/ua/whirlpool-859991635270/p416020776/
Холодильники,Холодильник Gorenje (NRR9185ESBXL),45 867,https://bt.rozetka.com.ua/ua/488483064/p488483064/
Холодильники,"Холодильник Vivax CF-310 NFX (No Frost, нерж.1,90 м)","19 539
15 629",https://bt.rozetka.com.ua/ua/476356679/p476356679/
Холодильники,Холодильник Indesit INKS 1401 W4E (7222124),17 799,https://bt.rozetka.com.ua/ua/582564328/p582564328/
Холодильники,Холодильник Hisense RB645N4BIE,"34 999
33 999",https://bt.rozetka.com.ua/ua/hisense_rb645n4bie/p317082049/
Холодильники,Холодильник Milano MTD205W,9 082,https://bt.rozetka.com.ua/ua/402278871/p402278871/
Холодильники,Холодильник Midea MDRB424FGF01O,"26 998
20 248",https://bt.rozetka.com.ua/ua/refrigerators-midea-151346643/p547449573/
Холодильники,"Холодильник Candy CNCQ2T618EB (No-Frost, 1.85 м, чорний)",20 499,https://bt.rozetka.com.ua/ua/577665226/p577665226/
Холодильники,Холодильник Edler ED-489CBW,17 686,https://bt.rozetka.com.ua/ua/398640462/p398640462/
Холодильники,Холодильник Grunhelm BRH-N200E60W (BP132389),"18 999
21 199
18 049",https://bt.rozetka.com.ua/ua/grunhelm-bp132389/p433686467/
Холодильники,Холодильник Snaige CC29SM-T100FE,"33 101
23 171",https://bt.rozetka.com.ua/ua/459752819/p459752819/
Холодильники,"Холодильник Liberton LRD 180-271H, White, двокамерний, No Frost, загальний об'єм 271L, корисний об'єм 182L/71L, А+, 180х55х60 см","17 494
17 453",https://bt.rozetka.com.ua/ua/refrigerators-liberton-154703923/p556557867/
Холодильники,"Холодильник Snaige з верхн. мороз., 172.5x63х56, холод.від.-201л, мороз.від.-57л, 2дв., A++, ST, retro, червоний (FR27SM-PRR50E)",21 999,https://bt.rozetka.com.ua/ua/391840107/p391840107/
Холодильники,Холодильник Hisense RQ760N4SBFE,"86 999
82 999",https://bt.rozetka.com.ua/ua/hisense-20011722/p436585304/
Холодильники,Холодильник Grunhelm MDH-N180D80-DG[139363],"34 137
30 479",https://bt.rozetka.com.ua/ua/refrigerators-grunhelm-153911034/p554323920/
Холодильники,Холодильник Ardesto DNF-H323I184,18 800,https://bt.rozetka.com.ua/ua/489761744/p489761744/
Холодильники,Холодильник MPM MPM 131-CJ-18/AA,9 199,https://bt.rozetka.com.ua/ua/mpm-mpm-131-cj-18-aa/p410293575/
Холодильники,Холодильник Gorenje NRM818EUX,35 399,https://bt.rozetka.com.ua/ua/gorenje-20012837/p582817516/
Холодильники,Холодильник з морозильною камерою Candy COT1S45EW,11 889,https://bt.rozetka.com.ua/ua/583317160/p583317160/
Холодильники,Холодильник Snaige С31SM-T1002E,"26 998
20 248",https://bt.rozetka.com.ua/ua/refrigerators-snaige-151346626/p547452594/
Холодильники,Холодильник LG GC-Q257CBFC,"71 099
68 999",https://bt.rozetka.com.ua/ua/523221389/p523221389/
Холодильники,Двокамерний холодильник Grifon NFND-200X,16 699,https://bt.rozetka.com.ua/ua/refrigerators-grifon-155167379/p557607279/
Холодильники,Liberty HR-65 W,5 474,https://bt.rozetka.com.ua/ua/276820388/p276820388/
Холодильники,Холодильник Gorenje NRS917E41BXWD (7248826),38 299,https://bt.rozetka.com.ua/ua/582564289/p582564289/
Холодильники,Холодильник Electrolux LNT6ME46X3,"49 599
47 119",https://bt.rozetka.com.ua/ua/electrolux-lnt6me46x3/p567828505/
Холодильники,Холодильник Gorenje NRS917E41BXWD (7248826),38 299,https://bt.rozetka.com.ua/ua/582564289/p582564289/
Холодильники,Холодильник Electrolux LNT6ME46X3,"49 599
47 119",https://bt.rozetka.com.ua/ua/electrolux-lnt6me46x3/p567828505/
Холодильники,Холодильник Gorenje NRK619EAXL4WD,22 686,https://bt.rozetka.com.ua/ua/582649531/p582649531/
Холодильники,Холодильник Gorenje NRM819E61BX (7248825),37 799,https://bt.rozetka.com.ua/ua/582564556/p582564556/
Холодильники,Холодильник Candy CNCQ2T518EB,18 999,https://bt.rozetka.com.ua/ua/510010194/p510010194/
Холодильники,Холодильник Beko RCNA406I40XBRN (7220897),21 999,https://bt.rozetka.com.ua/ua/582564259/p582564259/
Холодильники,Холодильник Liebherr ICBNSD 5623 325568,"84 490
77 577",https://bt.rozetka.com.ua/ua/581176786/p581176786/
Холодильники,Холодильник Grifon NFN-185W,16 764,https://bt.rozetka.com.ua/ua/388974117/p388974117/
Холодильники,Холодильник Gorenje NRS917E41X (7248822),36 199,https://bt.rozetka.com.ua/ua/582564349/p582564349/
Холодильники,Холодильник LG GC-B459EQYM,25 499,https://bt.rozetka.com.ua/ua/lg-8806096729441/p576919987/
Холодильники,Холодильник LG GC-B459EMYM,25 499,https://bt.rozetka.com.ua/ua/lg-8806096729427/p576919975/
Холодильники,Холодильник Candy CNCQ2T618EW двокамерний,18 999,https://bt.rozetka.com.ua/ua/509165964/p509165964/
Холодильники,"Холодильник Liebherr з нижн. мороз., 201.5x59.7х67.5, холод.відд.-266л, мороз.відд.-94л, 2дв., А++, ST, диспл внутр., білий",33 605,https://bt.rozetka.com.ua/ua/586948741/p586948741/
Холодильники,Холодильник Hisense RB440N4GBE (BCD-331W) (6711226),26 999,https://bt.rozetka.com.ua/ua/582526657/p582526657/
Холодильники,"Холодильник Liebherr з нижн. мороз., 185x60x68, холод.від.-255 л, мороз.отд.-94л, 2 дв., A++, NF, білий",32 471,https://bt.rozetka.com.ua/ua/586949062/p586949062/
