category,title,price,link,platform,price_clean
Комп'ютерна техніка,"Ноутбук HP ENVY 17 ""Open Box""",5999,https://allo.ua/ua/products/notebooks/noutbuk-hp-envy-17-open-box.html,Allo,5999.0
Комп'ютерна техніка,"Ноутбук ""Open Box"" ASUS TUF Gaming A15",53579,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a15-1-20963161.html,Allo,53579.0
Комп'ютерна техніка,Ноутбук CHUWI GemiBook XPro (N100/8/256GB) Win 11 + Миша CHUWI в Подарунок (CW-112559),14239,https://allo.ua/ua/products/notebooks/noutbuk-chuwi-gemibook-xpro-n100-8-256gb-win-11-mysh-chuwi-v-podarok-cw-112559.html,Allo,14239.0
Комп'ютерна техніка,Ноутбук Dream Machines RG5050-17 (RG5050-17UA26),54999,https://allo.ua/ua/products/notebooks/noutbuk-dream-machines-rg5050-17-rg5050-17ua26.html,Allo,54999.0
Комп'ютерна техніка,Ноутбук LENOVO IPS3-15IAH8 (83ER00MGRA),24999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ips3-15iah8-83er00mgra.html,Allo,24999.0
Комп'ютерна техніка,Ноутбук Lenovo IdeaPad3 15IAU7 (82RK018WRA),23999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad3-15iau7-82rk018wra.html,Allo,23999.0
Комп'ютерна техніка,Ноутбук HP Victus 16-r0027ua (BF1L9EA),39999,https://allo.ua/ua/products/notebooks/noutbuk-hp-victus-16-r0027ua-bf1l9ea.html,Allo,39999.0
Комп'ютерна техніка,Ноутбук ideapad Slim 3 15AMN8 Arctic Grey (82XQ00X3RA),22999,https://allo.ua/ua/products/notebooks/noutbuk-ideapad-slim-3-15amn8-arctic-grey-82xq00x3ra.html,Allo,22999.0
Комп'ютерна техніка,"Ігровий ноутбук Asus ROG Strix G15 ""Open Box""",36999,https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-asus-rog-strix-g15-open-box-2.html,Allo,36999.0
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook Pro 14 2025 Ul7/32G/1T (JYU4654CN),54999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-14-2025-ul7-32g-1t-jyu4654cn.html,Allo,54999.0
Комп'ютерна техніка,Ноутбук Dream Machines RG5060-17 (RG5060-17UA26),69999,https://allo.ua/ua/products/notebooks/noutbuk-dream-machines-rg5060-17-rg5060-17ua26.html,Allo,69999.0
Комп'ютерна техніка,Ноутбук Acer Aspire Lite AL15-33P-30XX (NX.D62EU.001),17999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-lite-al15-33p-30xx-nx-d62eu-001.html,Allo,17999.0
Комп'ютерна техніка,Ноутбук ASUS Vivobook 15 M1502YA-BQ086 (90NB0X22-M00370),27999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-15-m1502ya-bq086-90nb0x22-m00370.html,Allo,27999.0
Комп'ютерна техніка,"Ноутбук ""Open Box"" ASUS TUF Gaming A14",52489,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a14.html,Allo,52489.0
Комп'ютерна техніка,Ноутбук ASUS Vivobook Go 15 E1504FA-BQ522 (90NB0ZR2-M01J60),21999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-go-15-e1504fa-bq522-90nb0zr2-m01j60.html,Allo,21999.0
