category,platform,Кількість,Мін_ціна,Сер_ціна,Макс_ціна,Медіана
Комп'ютерна техніка,Allo,600,3399.0,22109.18,124999.0,20449.0
Комп'ютерна техніка,Comfy,499,9279.0,59433.42,298499.0,51999.0
Комп'ютерна техніка,Rozetka,600,6599.0,54717.69,271499.0,42074.5
Телевізори,Allo,600,3499.0,34813.58,499999.0,20452.0
Телевізори,Comfy,500,3789.0,35299.62,1299999.0,19999.0
Телевізори,Rozetka,600,3324.0,27622.63,1599999.0,14593.0
Холодильники,Allo,598,2380.0,24382.27,161059.0,20999.0
Холодильники,Comfy,500,3599.0,24983.71,129399.0,22499.0
Холодильники,Rozetka,600,2245.0,24804.6,208899.0,20977.5
