category,title,price,link
Комп'ютерна техніка,"Ноутбук HP Laptop 17-cp2045ua (D16F5EA) Natural Silver / 17.3"" IPS / AMD Ryzen 5 7520U / RAM 16 ГБ / SSD 512 ГБ","29 999
39 999
28 499",https://rozetka.com.ua/ua/hp-d16f5ea/p572861542/
Комп'ютерна техніка,"Ноутбук Acer Aspire Go 15 AG15-72P-51SC (NX.JSVEU.00V) Pure Silver / 15.6"" IPS Full HD / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","27 999
25 999",https://rozetka.com.ua/ua/acer-nxjsveu00v/p569471587/
Комп'ютерна техніка,"Ноутбук ASUS Vivobook 15 X1504VA-BQ3123 (90NB13Y1-M01560) Static Blue / 15.6"" IPS Full HD / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","34 999
25 999",https://rozetka.com.ua/ua/asus-90nb13y1-m01560/p525496389/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 3 16IRH10 (83K2002VRA) Luna Grey / 16"" IPS WUXGA / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ","34 499
28 499",https://rozetka.com.ua/ua/lenovo-83k2002vra/p528064564/
Комп'ютерна техніка,"Ноутбук HP 250R G9 (AL0B1AT) Dark Ash Silver / 15.6"" IPS / Intel Core i3-1315U / RAM 16 ГБ / SSD 512 ГБ","21 999
24 999
20 899",https://rozetka.com.ua/ua/hp-al0b1at/p469308524/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 ANV15-52-52F0 (NH.QV3EU.004) Obsidian Black / 15.6” IPS Full HD 165 Гц / Intel Core 5 210H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ (TDP 65 Вт)","45 999
39 999",https://rozetka.com.ua/ua/acer-nhqv3eu004/p565874837/
Комп'ютерна техніка,"Ноутбук ASUS VivoBook 16 M1607KA-MB011 (90NB15F2-M000B0) Cool Silver / 16"" IPS WUXGA / AMD Ryzen AI 5 340 / RAM 16 ГБ / SSD 512 ГБ / Підсвітка клавіатури / Зарядка по USB","38 999
32 999",https://rozetka.com.ua/ua/asus-90nb15f2-m000b0/p520948649/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 5 16ARP10 (83HU002XRA) Luna Grey / 16"" IPS WUXGA / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ","39 999
29 999",https://rozetka.com.ua/ua/lenovo-83hu002xra/p528072394/
Комп'ютерна техніка,"Ноутбук HP 250R G9 (C7GA7AT) Dark Ash Silver / 15.6"" IPS FHD / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","25 999
30 999
24 699",https://rozetka.com.ua/ua/hp-c7ga7at/p562261443/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 ANV15-52-744S (NH.QV2EU.00C) Obsidian Black / 15.6” IPS Full HD 165 Гц / Intel Core i7-13620H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ","52 999
47 999",https://rozetka.com.ua/ua/acer-nhqv2eu00c/p567208075/
Комп'ютерна техніка,"Ноутбук ASUS Vivobook 15 X1502VA-BQ976 (90NB10T2-M01AH0) Cool Silver / 15.6"" IPS / Intel Core i5-13420H / RAM 16 ГБ / SSD 1 ТБ / Підсвітка клавіатури","37 999
28 999",https://rozetka.com.ua/ua/asus-90nb10t2-m01ah0/p556838355/
Комп'ютерна техніка,"Ноутбук Lenovo LOQ 17IRX10 (83JH00BNRA) Luna Grey / 17.3"" IPS 165 Гц / Intel Core i7-13700HX / RAM 32 ГБ / SSD 1 ТБ / RTX 5060, 8 ГБ / 24-Zone RGB","83 999
73 999",https://rozetka.com.ua/ua/lenovo-83jh00bnra/p561688704/
Комп'ютерна техніка,"Ноутбук HP Laptop 17-cp3017ua (CS8C7EA) Natural Silver / 17.3"" IPS FHD / AMD Ryzen 7 7730U / RAM 16 ГБ / SSD 1 ТБ","37 999
38 999
36 099",https://rozetka.com.ua/ua/hp-cs8c7ea/p557686362/
Комп'ютерна техніка,"Ноутбук Acer Aspire 17 A17-51M-52RX (NX.J0JEU.001) Steel Gray / 17.3"" IPS Full HD / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","35 999
29 999",https://rozetka.com.ua/ua/acer-nxj0jeu001/p447813593/
